Value,Range,Percentage,Stats
822.74,9.11,(1.12%),"Prev Close
808.01
Day's Range
805.27 - 821.22
52 Week Range
176.84 - 967.66
Average Volume (3m)
18.01M
1-Year Return
294.12%
Beta
1.2397
Market Cap
149.78B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
09/12/2019
21/02/2020
30/04/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
821.12,7.49,(0.92%),"Prev Close
808.01
Day's Range
805.27 - 821.22
52 Week Range
176.84 - 967.66
Average Volume (3m)
18.01M
1-Year Return
294.12%
Beta
1.2397
Market Cap
149.78B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
09/12/2019
21/02/2020
30/04/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
820.68,7.05,(0.87%),"Prev Close
808.01
Day's Range
805.27 - 821.22
52 Week Range
176.84 - 967.66
Average Volume (3m)
18.01M
1-Year Return
294.12%
Beta
1.2397
Market Cap
149.78B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
09/12/2019
21/02/2020
30/04/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
819.58,5.95,(0.73%),"Prev Close
808.01
Day's Range
805.27 - 821.22
52 Week Range
176.84 - 967.66
Average Volume (3m)
18.01M
1-Year Return
294.12%
Beta
1.2397
Market Cap
149.78B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
09/12/2019
21/02/2020
30/04/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
819.52,11.51,(1.42%),"Prev Close
808.01
Day's Range
805.27 - 821.22
52 Week Range
176.84 - 967.66
Average Volume (3m)
18.01M
1-Year Return
294.12%
Beta
1.2397
Market Cap
149.78B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
09/12/2019
21/02/2020
30/04/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
820.53,12.52,(1.55%),"Prev Close
808.01
Day's Range
805.27 - 821.22
52 Week Range
176.84 - 967.66
Average Volume (3m)
18.01M
1-Year Return
294.12%
Beta
1.2397
Market Cap
149.78B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
09/12/2019
21/02/2020
30/04/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
820.26,12.25,(1.52%),"Prev Close
808.01
Day's Range
805.27 - 821.22
52 Week Range
176.84 - 967.66
Average Volume (3m)
18.01M
1-Year Return
294.12%
Beta
1.2397
Market Cap
149.78B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
09/12/2019
21/02/2020
30/04/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
819.81,11.80,(1.46%),"Prev Close
808.01
Day's Range
805.27 - 821.22
52 Week Range
176.84 - 967.66
Average Volume (3m)
18.01M
1-Year Return
294.12%
Beta
1.2397
Market Cap
149.78B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
09/12/2019
21/02/2020
30/04/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
819.81,11.55,(1.43%),"Prev Close
808.01
Day's Range
805.27 - 821.22
52 Week Range
176.84 - 967.66
Average Volume (3m)
18.01M
1-Year Return
294.12%
Beta
1.2397
Market Cap
149.78B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
09/12/2019
21/02/2020
30/04/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
819.56,11.55,(1.43%),"Prev Close
808.01
Day's Range
805.27 - 821.22
52 Week Range
176.84 - 967.66
Average Volume (3m)
18.01M
1-Year Return
294.12%
Beta
1.2397
Market Cap
149.78B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
09/12/2019
21/02/2020
30/04/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
819.52,11.51,(1.42%),"Prev Close
808.01
Day's Range
805.27 - 821.22
52 Week Range
176.84 - 967.66
Average Volume (3m)
18.01M
1-Year Return
294.12%
Beta
1.2397
Market Cap
149.78B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
09/12/2019
21/02/2020
30/04/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
820.65,12.64,(1.56%),"Prev Close
808.01
Day's Range
805.27 - 821.22
52 Week Range
176.84 - 967.66
Average Volume (3m)
18.01M
1-Year Return
294.12%
Beta
1.2397
Market Cap
149.78B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
09/12/2019
21/02/2020
30/04/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
820.20,12.19,(1.51%),"Prev Close
808.01
Day's Range
805.27 - 821.22
52 Week Range
176.84 - 967.66
Average Volume (3m)
18.01M
1-Year Return
294.12%
Beta
1.2397
Market Cap
149.78B
P/E Ratio
Revenue
26.02B
EPS
-0.8924
Dividend (Yield)
0 (0%)
1 DAY 1 WEEK 1 MONTH 3 MONTHS 6 MONTHS 1 YEAR 3 YEARS MAX
09/12/2019
21/02/2020
30/04/2020
400.00
500.00
600.00
700.00
800.00
900.00
1000.00
Chart times in UTC
Sector
Consumer Durables Industry
Motor Vehicles
CEO
Elon Reeve Musk
Employees
48,016"
